"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 21:50:51 GMT 2021","Sun Aug 15 21:50:52 GMT 2021","1624","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_homepage[chrome]",""
"passed","Sun Aug 15 21:50:46 GMT 2021","Sun Aug 15 21:50:47 GMT 2021","1554","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_homepage[chrome]",""
"passed","Sun Aug 15 21:50:54 GMT 2021","Sun Aug 15 21:50:58 GMT 2021","4380","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_logout_exist_user[chrome]",""
"passed","Sun Aug 15 21:52:21 GMT 2021","Sun Aug 15 21:52:24 GMT 2021","3269","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 21:50:37 GMT 2021","Sun Aug 15 21:50:38 GMT 2021","1384","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_username[chrome]",""
"passed","Sun Aug 15 21:51:26 GMT 2021","Sun Aug 15 21:51:41 GMT 2021","15092","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_edit_an_existing_article[chrome]",""
"passed","Sun Aug 15 21:50:28 GMT 2021","Sun Aug 15 21:50:30 GMT 2021","2831","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_sign_in_new_user[chrome]",""
"passed","Sun Aug 15 21:51:00 GMT 2021","Sun Aug 15 21:51:01 GMT 2021","1545","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_homepage[chrome]",""
"passed","Sun Aug 15 21:52:21 GMT 2021","Sun Aug 15 21:52:21 GMT 2021","103","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 21:50:25 GMT 2021","Sun Aug 15 21:50:28 GMT 2021","2467","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_fill_signup_form_valid[chrome]",""
"passed","Sun Aug 15 21:50:52 GMT 2021","Sun Aug 15 21:50:54 GMT 2021","1276","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 21:51:47 GMT 2021","Sun Aug 15 21:52:00 GMT 2021","12593","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_count_before_delete[chrome]",""
"passed","Sun Aug 15 21:51:04 GMT 2021","Sun Aug 15 21:51:07 GMT 2021","3643","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_write_new_article[chrome]",""
"passed","Sun Aug 15 21:50:43 GMT 2021","Sun Aug 15 21:50:43 GMT 2021","102","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 21:51:42 GMT 2021","Sun Aug 15 21:51:44 GMT 2021","1546","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_homepage[chrome]",""
"passed","Sun Aug 15 21:50:40 GMT 2021","Sun Aug 15 21:50:40 GMT 2021","239","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 21:50:52 GMT 2021","Sun Aug 15 21:50:52 GMT 2021","104","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 21:52:11 GMT 2021","Sun Aug 15 21:52:11 GMT 2021","101","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 21:50:34 GMT 2021","Sun Aug 15 21:50:35 GMT 2021","1490","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_email[chrome]",""
"passed","Sun Aug 15 21:52:19 GMT 2021","Sun Aug 15 21:52:21 GMT 2021","1525","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_homepage[chrome]",""
"passed","Sun Aug 15 21:50:34 GMT 2021","Sun Aug 15 21:50:34 GMT 2021","158","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_check_signup_form[chrome]",""
"passed","Sun Aug 15 21:51:09 GMT 2021","Sun Aug 15 21:51:11 GMT 2021","1644","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_homepage[chrome]",""
