"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 20:54:33 GMT 2021","Mon Aug 16 20:54:33 GMT 2021","104","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 20:55:30 GMT 2021","Mon Aug 16 20:55:30 GMT 2021","276","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 20:55:33 GMT 2021","Mon Aug 16 20:55:33 GMT 2021","108","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 20:55:47 GMT 2021","Mon Aug 16 20:55:49 GMT 2021","1597","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_check_write_list_into_text_file[chrome]",""
"passed","Mon Aug 16 20:53:47 GMT 2021","Mon Aug 16 20:53:47 GMT 2021","159","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_check_signup_form[chrome]",""
"passed","Mon Aug 16 20:55:33 GMT 2021","Mon Aug 16 20:55:36 GMT 2021","3263","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_login_exist_user[chrome]",""
"passed","Mon Aug 16 20:54:13 GMT 2021","Mon Aug 16 20:54:15 GMT 2021","1508","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_homepage[chrome]",""
"passed","Mon Aug 16 20:53:49 GMT 2021","Mon Aug 16 20:53:52 GMT 2021","2670","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_sign_in_new_user[chrome]",""
"passed","Mon Aug 16 20:54:26 GMT 2021","Mon Aug 16 20:54:30 GMT 2021","3653","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_write_new_article[chrome]",""
"passed","Mon Aug 16 20:54:16 GMT 2021","Mon Aug 16 20:54:21 GMT 2021","4359","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_logout_exist_user[chrome]",""
"passed","Mon Aug 16 20:54:15 GMT 2021","Mon Aug 16 20:54:15 GMT 2021","109","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 20:55:22 GMT 2021","Mon Aug 16 20:55:27 GMT 2021","4192","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_delete_an_existing_article[chrome]",""
"passed","Mon Aug 16 20:55:49 GMT 2021","Mon Aug 16 20:55:49 GMT 2021","221","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 20:53:55 GMT 2021","Mon Aug 16 20:53:56 GMT 2021","188","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_check_signup_form[chrome]",""
"passed","Mon Aug 16 20:54:22 GMT 2021","Mon Aug 16 20:54:24 GMT 2021","1487","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_homepage[chrome]",""
"passed","Mon Aug 16 20:53:54 GMT 2021","Mon Aug 16 20:53:55 GMT 2021","1723","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_homepage[chrome]",""
"passed","Mon Aug 16 20:54:10 GMT 2021","Mon Aug 16 20:54:12 GMT 2021","1550","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_login_not_exist_user[chrome]",""
"passed","Mon Aug 16 20:54:01 GMT 2021","Mon Aug 16 20:54:01 GMT 2021","125","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_navigate_home[chrome]",""
"passed","Mon Aug 16 20:53:52 GMT 2021","Mon Aug 16 20:53:52 GMT 2021","242","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_logout_successful[chrome]",""
"passed","Mon Aug 16 20:55:44 GMT 2021","Mon Aug 16 20:55:44 GMT 2021","153","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 20:54:35 GMT 2021","Mon Aug 16 20:54:44 GMT 2021","9286","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_navigate_to_user_page[chrome]",""
"passed","Mon Aug 16 20:53:58 GMT 2021","Mon Aug 16 20:54:00 GMT 2021","1446","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_username[chrome]",""
"passed","Mon Aug 16 20:53:56 GMT 2021","Mon Aug 16 20:53:57 GMT 2021","1460","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_email[chrome]",""
"passed","Mon Aug 16 20:55:41 GMT 2021","Mon Aug 16 20:55:41 GMT 2021","228","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_homepage_is_displayed[chrome]",""
"broken","Mon Aug 16 20:55:03 GMT 2021","Mon Aug 16 20:55:03 GMT 2021","41","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_check_edited_article[chrome]",""
