"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 11:39:46 GMT 2021","Mon Aug 16 11:39:46 GMT 2021","99","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 11:39:33 GMT 2021","Mon Aug 16 11:39:33 GMT 2021","113","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_navigate_home[chrome]",""
"passed","Mon Aug 16 11:40:54 GMT 2021","Mon Aug 16 11:40:58 GMT 2021","4183","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_delete_an_existing_article[chrome]",""
"passed","Mon Aug 16 11:39:36 GMT 2021","Mon Aug 16 11:39:36 GMT 2021","102","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 11:39:45 GMT 2021","Mon Aug 16 11:39:46 GMT 2021","1471","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_homepage[chrome]",""
"passed","Mon Aug 16 11:40:01 GMT 2021","Mon Aug 16 11:40:01 GMT 2021","239","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_check_new_article[chrome]",""
"passed","Mon Aug 16 11:39:55 GMT 2021","Mon Aug 16 11:39:56 GMT 2021","1269","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_login_exist_user[chrome]",""
"passed","Mon Aug 16 11:40:05 GMT 2021","Mon Aug 16 11:40:06 GMT 2021","1266","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_login_exist_user[chrome]",""
"passed","Mon Aug 16 11:39:46 GMT 2021","Mon Aug 16 11:39:48 GMT 2021","1239","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_login_exist_user[chrome]",""
"passed","Mon Aug 16 11:39:18 GMT 2021","Mon Aug 16 11:39:19 GMT 2021","1694","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_homepage[chrome]",""
"passed","Mon Aug 16 11:39:35 GMT 2021","Mon Aug 16 11:39:36 GMT 2021","1485","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_homepage[chrome]",""
"passed","Mon Aug 16 11:41:21 GMT 2021","Mon Aug 16 11:41:26 GMT 2021","4598","test_src.Tests.test09_cookie_check","test_TC11","TestCookie","","","test_homepage_cookie[chrome]",""
"passed","Mon Aug 16 11:39:22 GMT 2021","Mon Aug 16 11:39:24 GMT 2021","2447","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_sign_in_new_user[chrome]",""
"passed","Mon Aug 16 11:41:20 GMT 2021","Mon Aug 16 11:41:20 GMT 2021","207","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 11:39:43 GMT 2021","Mon Aug 16 11:39:43 GMT 2021","211","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 11:41:01 GMT 2021","Mon Aug 16 11:41:01 GMT 2021","227","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 11:39:19 GMT 2021","Mon Aug 16 11:39:19 GMT 2021","148","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_check_signup_form[chrome]",""
"passed","Mon Aug 16 11:40:05 GMT 2021","Mon Aug 16 11:40:05 GMT 2021","107","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 11:39:55 GMT 2021","Mon Aug 16 11:39:55 GMT 2021","127","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 11:41:15 GMT 2021","Mon Aug 16 11:41:18 GMT 2021","3253","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_login_exist_user[chrome]",""
