"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 05:06:26 GMT 2021","Mon Aug 16 05:06:27 GMT 2021","1225","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_login_exist_user[chrome]",""
"passed","Mon Aug 16 05:06:14 GMT 2021","Mon Aug 16 05:06:14 GMT 2021","227","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 05:06:27 GMT 2021","Mon Aug 16 05:06:32 GMT 2021","4347","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_logout_exist_user[chrome]",""
"passed","Mon Aug 16 05:06:35 GMT 2021","Mon Aug 16 05:06:35 GMT 2021","93","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 05:06:24 GMT 2021","Mon Aug 16 05:06:26 GMT 2021","1463","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_homepage[chrome]",""
"passed","Mon Aug 16 05:06:08 GMT 2021","Mon Aug 16 05:06:08 GMT 2021","139","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_check_signup_form[chrome]",""
"passed","Mon Aug 16 05:06:20 GMT 2021","Mon Aug 16 05:06:21 GMT 2021","1573","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_homepage[chrome]",""
"passed","Mon Aug 16 05:06:14 GMT 2021","Mon Aug 16 05:06:16 GMT 2021","1490","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_homepage[chrome]",""
"passed","Mon Aug 16 05:07:33 GMT 2021","Mon Aug 16 05:07:34 GMT 2021","170","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 05:06:12 GMT 2021","Mon Aug 16 05:06:14 GMT 2021","1359","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_existing_email[chrome]",""
