"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 22:30:28 GMT 2021","Sun Aug 15 22:30:29 GMT 2021","1524","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:30:24 GMT 2021","Sun Aug 15 22:30:26 GMT 2021","1383","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_username[chrome]",""
"passed","Sun Aug 15 22:31:31 GMT 2021","Sun Aug 15 22:31:31 GMT 2021","94","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_check_login_form[chrome]",""
"passed","Sun Aug 15 22:31:56 GMT 2021","Sun Aug 15 22:31:59 GMT 2021","3237","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 22:30:59 GMT 2021","Sun Aug 15 22:31:08 GMT 2021","9258","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_navigate_to_user_page[chrome]",""
"passed","Sun Aug 15 22:31:59 GMT 2021","Sun Aug 15 22:32:04 GMT 2021","4482","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_check_scroll_in_the_list[chrome]",""
"passed","Sun Aug 15 22:30:51 GMT 2021","Sun Aug 15 22:30:54 GMT 2021","3585","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_write_new_article[chrome]",""
"passed","Sun Aug 15 22:30:32 GMT 2021","Sun Aug 15 22:30:32 GMT 2021","226","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_homepage_is_displayed[chrome]",""
"passed","Sun Aug 15 22:31:47 GMT 2021","Sun Aug 15 22:31:51 GMT 2021","4157","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_delete_an_existing_article[chrome]",""
"passed","Sun Aug 15 22:30:56 GMT 2021","Sun Aug 15 22:30:58 GMT 2021","1541","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_homepage[chrome]",""
"passed","Sun Aug 15 22:30:40 GMT 2021","Sun Aug 15 22:30:41 GMT 2021","1249","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_login_exist_user[chrome]",""
"passed","Sun Aug 15 22:30:41 GMT 2021","Sun Aug 15 22:30:45 GMT 2021","4350","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_logout_exist_user[chrome]",""
"passed","Sun Aug 15 22:31:12 GMT 2021","Sun Aug 15 22:31:27 GMT 2021","15011","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_edit_an_existing_article[chrome]",""
