"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 20:53:47 GMT 2021","Tue Aug 17 20:53:48 GMT 2021","1233","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_login_exist_user[chrome]",""
"passed","Tue Aug 17 20:53:19 GMT 2021","Tue Aug 17 20:53:20 GMT 2021","1300","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_login_exist_user[chrome]",""
"passed","Tue Aug 17 20:54:46 GMT 2021","Tue Aug 17 20:54:46 GMT 2021","98","test_src.Tests.test07_scroll_list","test_TC09","TestScrollList","","","test_check_login_form[chrome]",""
"passed","Tue Aug 17 20:54:57 GMT 2021","Tue Aug 17 20:55:01 GMT 2021","3244","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_login_exist_user[chrome]",""
"passed","Tue Aug 17 20:53:58 GMT 2021","Tue Aug 17 20:54:02 GMT 2021","4208","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_open_to_edit_an_existing_article[chrome]",""
"passed","Tue Aug 17 20:53:04 GMT 2021","Tue Aug 17 20:53:07 GMT 2021","2468","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_sign_in_new_user[chrome]",""
"passed","Tue Aug 17 20:54:23 GMT 2021","Tue Aug 17 20:54:36 GMT 2021","12549","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_count_posts_before_delete_post[chrome]",""
"passed","Tue Aug 17 20:53:39 GMT 2021","Tue Aug 17 20:53:40 GMT 2021","1125","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_navigate_to_new_article[chrome]",""
"passed","Tue Aug 17 20:53:29 GMT 2021","Tue Aug 17 20:53:30 GMT 2021","1232","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_login_exist_user[chrome]",""
"passed","Tue Aug 17 20:53:40 GMT 2021","Tue Aug 17 20:53:44 GMT 2021","3595","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_write_new_article[chrome]",""
"passed","Tue Aug 17 20:53:27 GMT 2021","Tue Aug 17 20:53:29 GMT 2021","1536","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_homepage[chrome]",""
"passed","Tue Aug 17 20:53:08 GMT 2021","Tue Aug 17 20:53:10 GMT 2021","1501","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_homepage[chrome]",""
"passed","Tue Aug 17 20:53:13 GMT 2021","Tue Aug 17 20:53:14 GMT 2021","1364","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_username[chrome]",""
