"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 21:30:23 GMT 2021","Mon Aug 16 21:30:25 GMT 2021","1601","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_homepage[chrome]",""
"passed","Mon Aug 16 21:30:15 GMT 2021","Mon Aug 16 21:30:15 GMT 2021","113","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 21:29:39 GMT 2021","Mon Aug 16 21:29:41 GMT 2021","2372","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_fill_signup_form_valid[chrome]",""
"passed","Mon Aug 16 21:29:48 GMT 2021","Mon Aug 16 21:29:50 GMT 2021","1400","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_password[chrome]",""
"passed","Mon Aug 16 21:30:25 GMT 2021","Mon Aug 16 21:30:26 GMT 2021","1266","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_login_exist_user[chrome]",""
"passed","Mon Aug 16 21:29:38 GMT 2021","Mon Aug 16 21:29:39 GMT 2021","158","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_check_signup_form[chrome]",""
"passed","Mon Aug 16 21:29:56 GMT 2021","Mon Aug 16 21:29:57 GMT 2021","1284","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_login_exist_user[chrome]",""
"passed","Mon Aug 16 21:30:22 GMT 2021","Mon Aug 16 21:30:22 GMT 2021","227","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 21:30:55 GMT 2021","Mon Aug 16 21:30:55 GMT 2021","217","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 21:31:39 GMT 2021","Mon Aug 16 21:31:41 GMT 2021","1614","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_check_write_list_into_text_file[chrome]",""
"passed","Mon Aug 16 21:29:45 GMT 2021","Mon Aug 16 21:29:47 GMT 2021","1578","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_homepage[chrome]",""
"passed","Mon Aug 16 21:30:07 GMT 2021","Mon Aug 16 21:30:08 GMT 2021","1308","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_login_exist_user[chrome]",""
"passed","Mon Aug 16 21:31:36 GMT 2021","Mon Aug 16 21:31:36 GMT 2021","109","test_src.Tests.test08_save_data_to_txt_file","test_TC10","TestSaveData","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 21:29:56 GMT 2021","Mon Aug 16 21:29:56 GMT 2021","101","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 21:29:53 GMT 2021","Mon Aug 16 21:29:53 GMT 2021","246","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 21:29:50 GMT 2021","Mon Aug 16 21:29:51 GMT 2021","1417","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_username[chrome]",""
"passed","Mon Aug 16 21:29:44 GMT 2021","Mon Aug 16 21:29:44 GMT 2021","248","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_logout_successful[chrome]",""
"passed","Mon Aug 16 21:29:47 GMT 2021","Mon Aug 16 21:29:48 GMT 2021","1471","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_fill_signup_form_invalid_email[chrome]",""
"passed","Mon Aug 16 21:29:41 GMT 2021","Mon Aug 16 21:29:44 GMT 2021","2696","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_sign_in_new_user[chrome]",""
"passed","Mon Aug 16 21:30:02 GMT 2021","Mon Aug 16 21:30:03 GMT 2021","1556","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_login_not_exist_user[chrome]",""
"passed","Mon Aug 16 21:31:47 GMT 2021","Mon Aug 16 21:31:47 GMT 2021","152","test_src.Tests.test09_cookie_check","test_TC11","TestCookie","","","test_homepage_is_displayed[chrome]",""
"passed","Mon Aug 16 21:30:18 GMT 2021","Mon Aug 16 21:30:22 GMT 2021","3636","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_write_new_article[chrome]",""
"passed","Mon Aug 16 21:29:57 GMT 2021","Mon Aug 16 21:29:59 GMT 2021","1145","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_logout_exist_user[chrome]",""
"passed","Mon Aug 16 21:30:58 GMT 2021","Mon Aug 16 21:30:58 GMT 2021","98","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 21:30:22 GMT 2021","Mon Aug 16 21:30:22 GMT 2021","250","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_check_new_article[chrome]",""
"passed","Mon Aug 16 21:30:02 GMT 2021","Mon Aug 16 21:30:02 GMT 2021","99","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 21:30:36 GMT 2021","Mon Aug 16 21:30:40 GMT 2021","4207","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_open_to_edit_an_existing_article[chrome]",""
"passed","Mon Aug 16 21:30:14 GMT 2021","Mon Aug 16 21:30:15 GMT 2021","1554","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_homepage[chrome]",""
"passed","Mon Aug 16 21:30:06 GMT 2021","Mon Aug 16 21:30:07 GMT 2021","153","test_src.Tests.test03_home_screen","test_TC05","TestHome","","","test_check_login_form[chrome]",""
"passed","Mon Aug 16 21:30:00 GMT 2021","Mon Aug 16 21:30:02 GMT 2021","1497","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_homepage[chrome]",""
"passed","Mon Aug 16 21:29:47 GMT 2021","Mon Aug 16 21:29:47 GMT 2021","162","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_check_signup_form[chrome]",""
"passed","Mon Aug 16 21:29:53 GMT 2021","Mon Aug 16 21:29:53 GMT 2021","129","test_src.Tests.test01_registration","test_TC02","TestReg02","","","test_navigate_home[chrome]",""
