"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 20:40:05 GMT 2021","Tue Aug 17 20:40:05 GMT 2021","177","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Tue Aug 17 20:39:43 GMT 2021","Tue Aug 17 20:39:44 GMT 2021","82","test_src.Tests.test02_login","test_TC03","TestLogin01","","","test_check_login_form[chrome]",""
"passed","Tue Aug 17 20:41:25 GMT 2021","Tue Aug 17 20:41:25 GMT 2021","110","test_src.Tests.test09_cookie_check","test_TC11","TestCookie","","","test_homepage_is_displayed[chrome]",""
"passed","Tue Aug 17 20:40:40 GMT 2021","Tue Aug 17 20:40:40 GMT 2021","81","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_check_login_form[chrome]",""
"passed","Tue Aug 17 20:40:22 GMT 2021","Tue Aug 17 20:40:37 GMT 2021","14795","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_edit_an_existing_article[chrome]",""
"passed","Tue Aug 17 20:39:59 GMT 2021","Tue Aug 17 20:40:00 GMT 2021","1201","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_login_exist_user[chrome]",""
"passed","Tue Aug 17 20:40:01 GMT 2021","Tue Aug 17 20:40:05 GMT 2021","3492","test_src.Tests.test04_new_article","test_TC06","TestNewArticle","","","test_write_new_article[chrome]",""
"broken","Tue Aug 17 20:40:37 GMT 2021","Tue Aug 17 20:40:37 GMT 2021","33","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_check_edited_article[chrome]",""
"passed","Tue Aug 17 20:40:18 GMT 2021","Tue Aug 17 20:40:22 GMT 2021","4180","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_open_to_edit_an_existing_article[chrome]",""
"broken","Tue Aug 17 20:39:26 GMT 2021","Tue Aug 17 20:39:33 GMT 2021","6694","test_src.Tests.test01_registration","test_TC01","TestReg01","","","test_sign_in_new_user[chrome]",""
"passed","Tue Aug 17 20:40:55 GMT 2021","Tue Aug 17 20:41:00 GMT 2021","4133","test_src.Tests.test06_delete_article","test_TC08","TestDeleteArticle","","","test_delete_an_existing_article[chrome]",""
"passed","Tue Aug 17 20:40:37 GMT 2021","Tue Aug 17 20:40:37 GMT 2021","177","test_src.Tests.test05_edit_article_from_txt_file","test_TC07","TestEditArticle","","","test_homepage_is_displayed[chrome]",""
"passed","Tue Aug 17 20:39:48 GMT 2021","Tue Aug 17 20:39:49 GMT 2021","1432","test_src.Tests.test02_login","test_TC04","TestLogin02","","","test_login_not_exist_user[chrome]",""
